,LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,ROUND,DATE
0,32,58:18.977,0.000,0.000,177.931,1:46.038,24.0,1.0,6,A. Markelov,RUSSIAN TIME,Sakhir,Feature Race,Round 1 ,2017-04-16
1,32,58:26.868,7.891,7.891,177.53,1:46.187,18.0,2.0,20,N. Nato,Pertamina Arden,Sakhir,Feature Race,Round 1 ,2017-04-16
2,32,58:32.757,13.780,5.889,177.233,1:46.550,24.0,3.0,1,C. Leclerc,PREMA Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
3,32,58:36.455,17.478,3.698,177.046,1:46.729,19.0,4.0,15,J. King,MP Motorsport,Sakhir,Feature Race,Round 1 ,2017-04-16
4,32,58:37.121,18.144,0.666,177.013,1:46.761,21.0,5.0,9,O. Rowland,DAMS,Sakhir,Feature Race,Round 1 ,2017-04-16
5,32,58:38.721,19.744,1.600,176.932,1:46.171,19.0,6.0,8,A. Albon,ART Grand Prix,Sakhir,Feature Race,Round 1 ,2017-04-16
6,32,58:46.033,27.056,7.312,176.565,1:46.787,20.0,7.0,5,L. Ghiotto,RUSSIAN TIME,Sakhir,Feature Race,Round 1 ,2017-04-16
7,32,58:48.948,29.971,2.915,176.419,1:46.668,23.0,8.0,7,N. Matsushita,ART Grand Prix,Sakhir,Feature Race,Round 1 ,2017-04-16
8,32,58:49.927,30.950,0.979,176.37,1:46.969,28.0,9.0,2,A. Fuoco,PREMA Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
9,32,58:54.703,35.726,4.776,176.132,1:46.901,22.0,10.0,18,N. de Vries,Rapax,Sakhir,Feature Race,Round 1 ,2017-04-16
10,32,59:06.555,47.578,11.852,175.544,1:47.731,24.0,11.0,10,N. Latifi,DAMS,Sakhir,Feature Race,Round 1 ,2017-04-16
11,32,59:11.506,52.529,2.383,175.299,1:46.520,19.0,12.0,11,R. Boschung,Campos Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
12,32,59:14.123,50.146,2.568,175.417,1:47.610,27.0,13.0,14,S. Sette Câmara,MP Motorsport,Sakhir,Feature Race,Round 1 ,2017-04-16
13,32,59:15.288,56.311,3.782,175.112,1:48.907,7.0,14.0,17,S. Canamasas,Trident,Sakhir,Feature Race,Round 1 ,2017-04-16
14,32,59:25.700,66.723,10.412,174.601,1:46.798,20.0,15.0,19,J. Cecotto,Rapax,Sakhir,Feature Race,Round 1 ,2017-04-16
15,32,59:31.910,72.933,6.210,174.298,1:45.843,26.0,16.0,12,S. Coletti,Campos Racing,Sakhir,Feature Race,Round 1 ,2017-04-16
16,32,59:37.556,78.579,5.646,174.022,1:46.989,17.0,17.0,21,S. Gelael,Pertamina Arden,Sakhir,Feature Race,Round 1 ,2017-04-16
17,32,59:43.460,84.483,5.904,173.736,1:48.343,13.0,18.0,4,G. Malja,Racing Engineering,Sakhir,Feature Race,Round 1 ,2017-04-16
18,32,59:57.959,98.982,14.499,173.036,1:48.976,25.0,19.0,16,N. Jeffri,Trident,Sakhir,Feature Race,Round 1 ,2017-04-16
19,32,59:58.083,99.106,0.124,173.03,1:46.796,25.0,20.0,3,L. Delétraz,Racing Engineering,Sakhir,Feature Race,Round 1 ,2017-04-16
20,23,43:01.023,0.000,0.000,173.275,1:44.074,16.0,1.0,1,C. Leclerc,PREMA Racing,Sakhir,Sprint Race,Round 1 ,2017-04-16
21,23,43:02.592,1.569,1.569,173.17,1:47.043,7.0,2.0,5,L. Ghiotto,RUSSIAN TIME,Sakhir,Sprint Race,Round 1 ,2017-04-16
22,23,43:03.921,2.898,1.329,173.081,1:47.175,8.0,3.0,9,O. Rowland,DAMS,Sakhir,Sprint Race,Round 1 ,2017-04-16
23,23,43:08.598,7.575,4.677,172.768,1:47.760,14.0,4.0,10,N. Latifi,DAMS,Sakhir,Sprint Race,Round 1 ,2017-04-16
24,23,43:10.985,9.962,2.387,172.609,1:46.998,7.0,5.0,15,J. King,MP Motorsport,Sakhir,Sprint Race,Round 1 ,2017-04-16
25,23,43:11.888,10.865,0.903,172.549,1:47.632,10.0,6.0,18,N. de Vries,Rapax,Sakhir,Sprint Race,Round 1 ,2017-04-16
26,23,43:12.405,11.382,0.517,172.514,1:47.821,8.0,7.0,8,A. Albon,ART Grand Prix,Sakhir,Sprint Race,Round 1 ,2017-04-16
27,23,43:19.976,18.953,7.571,172.012,1:45.891,11.0,8.0,6,A. Markelov,RUSSIAN TIME,Sakhir,Sprint Race,Round 1 ,2017-04-16
28,23,43:20.173,19.150,0.197,171.999,1:47.868,13.0,9.0,19,J. Cecotto,Rapax,Sakhir,Sprint Race,Round 1 ,2017-04-16
29,23,43:21.006,19.983,0.833,171.944,1:46.884,7.0,10.0,2,A. Fuoco,PREMA Racing,Sakhir,Sprint Race,Round 1 ,2017-04-16
30,23,43:29.852,28.829,8.846,171.361,1:48.247,10.0,11.0,17,S. Canamasas,Trident,Sakhir,Sprint Race,Round 1 ,2017-04-16
31,23,43:32.210,31.187,2.358,171.206,1:48.033,8.0,12.0,3,L. Delétraz,Racing Engineering,Sakhir,Sprint Race,Round 1 ,2017-04-16
32,23,43:34.645,33.622,2.435,171.047,1:48.684,8.0,13.0,4,G. Malja,Racing Engineering,Sakhir,Sprint Race,Round 1 ,2017-04-16
33,23,43:35.415,34.392,0.770,170.996,1:45.961,12.0,14.0,7,N. Matsushita,ART Grand Prix,Sakhir,Sprint Race,Round 1 ,2017-04-16
34,23,43:36.924,35.901,1.509,170.898,1:47.837,11.0,15.0,12,S. Coletti,Campos Racing,Sakhir,Sprint Race,Round 1 ,2017-04-16
35,23,43:42.618,41.595,5.694,170.527,1:48.576,8.0,16.0,16,N. Jeffri,Trident,Sakhir,Sprint Race,Round 1 ,2017-04-16
36,23,43:53.052,52.029,10.434,169.851,1:46.512,13.0,17.0,21,S. Gelael,Pertamina Arden,Sakhir,Sprint Race,Round 1 ,2017-04-16
37,23,44:09.593,68.570,16.541,168.791,1:43.950,22.0,18.0,14,S. Sette Câmara,MP Motorsport,Sakhir,Sprint Race,Round 1 ,2017-04-16
38,37,1:02:33.684,0.000,0.000,165.062,1:35.729,3.0,1.0,1,C. Leclerc,PREMA Racing,Barcelona,Feature Race,Round 2 ,2017-05-14
39,37,1:02:37.414,3.730,3.730,164.898,1:35.583,34.0,2.0,5,L. Ghiotto,RUSSIAN TIME,Barcelona,Feature Race,Round 2 ,2017-05-14
40,37,1:02:44.830,11.146,7.416,164.573,1:34.340,31.0,3.0,9,O. Rowland,DAMS,Barcelona,Feature Race,Round 2 ,2017-05-14
41,37,1:02:47.787,14.103,2.957,164.444,1:36.548,5.0,4.0,7,N. Matsushita,ART Grand Prix,Barcelona,Feature Race,Round 2 ,2017-05-14
42,37,1:02:51.003,17.319,3.216,164.304,1:34.630,29.0,5.0,8,A. Albon,ART Grand Prix,Barcelona,Feature Race,Round 2 ,2017-05-14
43,37,1:02:57.563,23.879,6.560,164.019,1:34.865,31.0,6.0,10,N. Latifi,DAMS,Barcelona,Feature Race,Round 2 ,2017-05-14
44,37,1:02:58.463,24.779,0.900,163.979,1:37.161,33.0,7.0,4,G. Malja,Racing Engineering,Barcelona,Feature Race,Round 2 ,2017-05-14
45,37,1:02:59.087,25.403,0.624,163.952,1:34.294,29.0,8.0,6,A. Markelov,RUSSIAN TIME,Barcelona,Feature Race,Round 2 ,2017-05-14
46,37,1:03:04.651,30.967,5.564,163.711,1:36.436,2.0,9.0,15,J. King,MP Motorsport,Barcelona,Feature Race,Round 2 ,2017-05-14
47,37,1:03:17.516,43.832,5.631,163.157,1:36.442,28.0,10.0,18,N. de Vries,Rapax,Barcelona,Feature Race,Round 2 ,2017-05-14
48,37,1:03:23.967,50.283,6.451,162.88,1:35.114,27.0,11.0,3,L. Delétraz,Racing Engineering,Barcelona,Feature Race,Round 2 ,2017-05-14
49,37,1:03:11.885,38.201,7.234,163.399,1:36.638,34.0,12.0,11,R. Boschung,Campos Racing,Barcelona,Feature Race,Round 2 ,2017-05-14
50,37,1:03:39.654,65.970,9.997,162.211,1:36.008,29.0,13.0,2,A. Fuoco,PREMA Racing,Barcelona,Feature Race,Round 2 ,2017-05-14
51,37,1:03:29.657,55.973,5.690,162.637,1:34.706,28.0,14.0,14,S. Sette Câmara,MP Motorsport,Barcelona,Feature Race,Round 2 ,2017-05-14
52,37,1:03:42.017,68.333,0.549,162.111,1:35.716,29.0,15.0,21,S. Gelael,Pertamina Arden,Barcelona,Feature Race,Round 2 ,2017-05-14
53,37,1:03:42.925,69.241,0.908,162.072,1:36.627,27.0,16.0,20,N. Nato,Pertamina Arden,Barcelona,Feature Race,Round 2 ,2017-05-14
54,37,1:03:41.468,67.784,1.814,162.134,1:35.355,28.0,17.0,19,J. Cecotto,Rapax,Barcelona,Feature Race,Round 2 ,2017-05-14
55,37,1:04:03.205,89.521,20.280,161.217,1:36.913,28.0,18.0,16,N. Jeffri,Trident,Barcelona,Feature Race,Round 2 ,2017-05-14
56,33,57:40.374,DNF,-,159.682,1:35.965,22.0,19.0,12,R. Merhi,Campos Racing,Barcelona,Feature Race,Round 2 ,2017-05-14
57,26,42:20.450,0.000,0.000,171.329,1:35.246,11.0,1.0,7,N. Matsushita,ART Grand Prix,Barcelona,Sprint Race,Round 2 ,2017-05-14
58,26,42:23.759,3.309,3.309,171.106,1:35.178,9.0,2.0,9,O. Rowland,DAMS,Barcelona,Sprint Race,Round 2 ,2017-05-14
59,26,42:25.071,4.621,1.312,171.018,1:34.811,3.0,3.0,10,N. Latifi,DAMS,Barcelona,Sprint Race,Round 2 ,2017-05-14
60,26,42:29.627,9.177,4.556,170.712,1:35.136,12.0,4.0,1,C. Leclerc,PREMA Racing,Barcelona,Sprint Race,Round 2 ,2017-05-14
61,26,42:35.783,15.333,6.156,170.301,1:35.534,4.0,5.0,15,J. King,MP Motorsport,Barcelona,Sprint Race,Round 2 ,2017-05-14
62,26,42:38.437,17.987,2.654,170.125,1:35.246,3.0,6.0,4,G. Malja,Racing Engineering,Barcelona,Sprint Race,Round 2 ,2017-05-14
63,26,42:38.542,18.092,0.105,170.118,1:35.492,9.0,7.0,5,L. Ghiotto,RUSSIAN TIME,Barcelona,Sprint Race,Round 2 ,2017-05-14
64,26,42:41.585,21.135,3.043,169.915,1:35.096,11.0,8.0,8,A. Albon,ART Grand Prix,Barcelona,Sprint Race,Round 2 ,2017-05-14
65,26,42:42.002,21.552,0.417,169.888,1:35.400,10.0,9.0,6,A. Markelov,RUSSIAN TIME,Barcelona,Sprint Race,Round 2 ,2017-05-14
66,26,42:51.194,30.744,9.192,169.281,1:35.574,8.0,10.0,19,J. Cecotto,Rapax,Barcelona,Sprint Race,Round 2 ,2017-05-14
67,26,42:51.999,31.549,0.805,169.228,1:36.315,9.0,11.0,17,S. Canamasas,Trident,Barcelona,Sprint Race,Round 2 ,2017-05-14
68,26,42:54.884,34.434,2.885,169.038,1:35.765,11.0,12.0,12,R. Merhi,Campos Racing,Barcelona,Sprint Race,Round 2 ,2017-05-14
69,26,42:55.721,35.271,0.837,168.983,1:35.855,4.0,13.0,20,N. Nato,Pertamina Arden,Barcelona,Sprint Race,Round 2 ,2017-05-14
70,26,42:58.540,38.090,2.819,168.798,1:36.532,6.0,14.0,3,L. Delétraz,Racing Engineering,Barcelona,Sprint Race,Round 2 ,2017-05-14
71,26,42:59.896,39.446,1.356,168.71,1:36.330,5.0,15.0,14,S. Sette Câmara,MP Motorsport,Barcelona,Sprint Race,Round 2 ,2017-05-14
72,26,43:07.400,46.950,7.504,168.22,1:36.084,7.0,16.0,21,S. Gelael,Pertamina Arden,Barcelona,Sprint Race,Round 2 ,2017-05-14
73,26,43:10.676,50.226,3.276,168.008,1:34.670,5.0,17.0,11,R. Boschung,Campos Racing,Barcelona,Sprint Race,Round 2 ,2017-05-14
74,26,43:20.362,59.912,9.686,167.382,1:36.672,4.0,18.0,16,N. Jeffri,Trident,Barcelona,Sprint Race,Round 2 ,2017-05-14
75,41,1:00:46.545,0.000,0.000,135.07,1:21.562,27.0,1.0,9,O. Rowland,DAMS,Monte Carlo,Feature Race,Round 3 ,2017-05-27
76,41,1:00:47.409,0.864,0.864,135.038,1:21.592,30.0,2.0,6,A. Markelov,RUSSIAN TIME,Monte Carlo,Feature Race,Round 3 ,2017-05-27
77,41,1:01:00.314,13.769,12.905,134.562,1:21.654,28.0,3.0,7,N. Matsushita,ART Grand Prix,Monte Carlo,Feature Race,Round 3 ,2017-05-27
78,41,1:01:06.283,19.738,5.969,134.343,1:22.198,6.0,4.0,8,A. Albon,ART Grand Prix,Monte Carlo,Feature Race,Round 3 ,2017-05-27
79,41,1:01:11.202,24.657,4.919,134.163,1:23.113,6.0,5.0,5,L. Ghiotto,RUSSIAN TIME,Monte Carlo,Feature Race,Round 3 ,2017-05-27
80,41,1:01:14.627,28.082,3.425,134.038,1:23.369,34.0,6.0,4,G. Malja,Racing Engineering,Monte Carlo,Feature Race,Round 3 ,2017-05-27
81,41,1:01:14.998,28.453,0.371,134.024,1:23.146,17.0,7.0,18,N. de Vries,Rapax,Monte Carlo,Feature Race,Round 3 ,2017-05-27
82,41,1:01:15.670,29.125,0.672,134.0,1:23.402,28.0,8.0,19,J. Cecotto,Rapax,Monte Carlo,Feature Race,Round 3 ,2017-05-27
83,41,1:01:32.097,45.552,16.427,133.404,1:22.910,6.0,9.0,15,J. King,MP Motorsport,Monte Carlo,Feature Race,Round 3 ,2017-05-27
84,41,1:01:33.126,46.581,1.029,133.367,1:22.875,6.0,10.0,17,S. Canamasas,Trident,Monte Carlo,Feature Race,Round 3 ,2017-05-27
85,41,1:01:34.363,47.818,1.237,133.322,1:23.702,18.0,11.0,2,A. Fuoco,PREMA Racing,Monte Carlo,Feature Race,Round 3 ,2017-05-27
86,41,1:01:37.317,50.772,2.954,133.215,1:23.588,5.0,12.0,11,R. Boschung,Campos Racing,Monte Carlo,Feature Race,Round 3 ,2017-05-27
87,41,1:01:40.239,53.694,2.922,133.11,1:23.313,17.0,13.0,21,S. Gelael,Pertamina Arden,Monte Carlo,Feature Race,Round 3 ,2017-05-27
88,40,1:01:37.787,1 LAP,1 LAP,129.95,1:23.583,27.0,14.0,16,N. Jeffri,Trident,Monte Carlo,Feature Race,Round 3 ,2017-05-27
89,39,1:01:58.772,2 LAPS,1 LAP,125.986,1:21.983,27.0,15.0,3,L. Delétraz,Racing Engineering,Monte Carlo,Feature Race,Round 3 ,2017-05-27
90,30,41:51.284,0.000,0.000,143.51,1:23.012,27.0,1.0,18,N. de Vries,Rapax,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
91,30,42:01.118,9.834,9.834,142.95,1:23.206,4.0,2.0,19,J. Cecotto,Rapax,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
92,30,42:01.699,10.415,0.581,142.917,1:23.331,8.0,3.0,4,G. Malja,Racing Engineering,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
93,30,42:02.165,10.881,0.466,142.891,1:21.999,12.0,4.0,5,L. Ghiotto,RUSSIAN TIME,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
94,30,42:02.542,11.258,0.377,142.87,1:21.674,8.0,5.0,6,A. Markelov,RUSSIAN TIME,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
95,30,42:03.185,11.901,0.643,142.833,1:22.014,12.0,6.0,8,A. Albon,ART Grand Prix,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
96,30,42:04.911,13.627,1.726,142.736,1:22.419,4.0,7.0,7,N. Matsushita,ART Grand Prix,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
97,30,42:05.254,13.970,0.343,142.716,1:22.257,11.0,8.0,15,J. King,MP Motorsport,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
98,30,42:20.277,28.993,15.023,141.872,1:22.557,10.0,9.0,9,O. Rowland,DAMS,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
99,30,42:20.335,29.051,0.058,141.869,1:23.024,20.0,10.0,2,A. Fuoco,PREMA Racing,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
100,30,42:25.325,34.041,4.990,141.591,1:23.493,14.0,11.0,16,N. Jeffri,Trident,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
101,30,42:34.016,42.732,8.691,141.109,1:23.272,21.0,12.0,21,S. Gelael,Pertamina Arden,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
102,30,42:34.714,43.430,0.698,141.07,1:22.504,25.0,13.0,10,N. Latifi,DAMS,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
103,30,42:37.707,46.423,2.993,140.905,1:23.756,6.0,14.0,14,S. Sette Câmara,MP Motorsport,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
104,30,42:38.291,47.007,0.584,140.873,1:23.555,22.0,15.0,12,R. Visoiu,Campos Racing,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
105,30,42:44.463,53.179,6.172,140.534,1:23.308,26.0,16.0,3,L. Delétraz,Racing Engineering,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
106,30,42:46.961,55.677,2.498,140.397,1:22.782,29.0,17.0,17,S. Canamasas,Trident,Monte Carlo,Sprint Race,Round 3 ,2017-05-27
107,24,52:33.196,0.000,0.000,164.368,1:54.025,24.0,1.0,1,C. Leclerc,PREMA Racing,Baku,Feature Race,Round 4 ,2017-06-25
108,24,52:36.665,3.469,3.469,164.187,1:54.736,22.0,2.0,18,N. de Vries,Rapax,Baku,Feature Race,Round 4 ,2017-06-25
109,24,52:39.586,6.390,2.921,164.035,1:54.884,22.0,3.0,10,N. Latifi,DAMS,Baku,Feature Race,Round 4 ,2017-06-25
110,24,52:44.890,11.694,2.604,163.76,1:55.168,22.0,4.0,6,A. Markelov,RUSSIAN TIME,Baku,Feature Race,Round 4 ,2017-06-25
111,24,52:50.270,17.074,5.380,163.482,1:55.426,21.0,5.0,20,N. Nato,Pertamina Arden,Baku,Feature Race,Round 4 ,2017-06-25
112,24,52:51.766,18.570,1.496,163.405,1:56.281,21.0,6.0,15,J. King,MP Motorsport,Baku,Feature Race,Round 4 ,2017-06-25
113,24,52:52.286,9.090,2.700,163.895,1:54.662,23.0,7.0,9,O. Rowland,DAMS,Baku,Feature Race,Round 4 ,2017-06-25
114,24,52:54.544,21.348,2.778,163.262,1:55.990,23.0,8.0,11,R. Boschung,Campos Racing,Baku,Feature Race,Round 4 ,2017-06-25
115,24,52:56.066,22.870,1.522,163.184,1:56.085,23.0,9.0,17,S. Canamasas,Trident,Baku,Feature Race,Round 4 ,2017-06-25
116,24,52:57.238,24.042,1.172,163.124,1:56.129,24.0,10.0,8,S. Sirotkin,ART Grand Prix,Baku,Feature Race,Round 4 ,2017-06-25
117,24,52:58.024,24.828,0.786,163.083,1:55.802,23.0,11.0,4,G. Malja,Racing Engineering,Baku,Feature Race,Round 4 ,2017-06-25
118,24,52:58.892,25.696,0.868,163.039,1:55.422,23.0,12.0,7,N. Matsushita,ART Grand Prix,Baku,Feature Race,Round 4 ,2017-06-25
119,24,53:02.871,29.675,3.979,162.835,1:55.438,23.0,13.0,14,S. Sette Câmara,MP Motorsport,Baku,Feature Race,Round 4 ,2017-06-25
120,24,53:06.297,33.101,3.426,162.66,1:56.335,23.0,14.0,21,S. Gelael,Pertamina Arden,Baku,Feature Race,Round 4 ,2017-06-25
121,24,53:06.516,33.320,0.219,162.649,1:56.067,24.0,15.0,12,R. Visoiu,Campos Racing,Baku,Feature Race,Round 4 ,2017-06-25
122,24,53:22.403,49.207,15.887,161.842,1:54.886,21.0,16.0,5,L. Ghiotto,RUSSIAN TIME,Baku,Feature Race,Round 4 ,2017-06-25
123,21,40:37.601,0.000,0.000,186.024,1:54.413,19.0,1.0,20,N. Nato,Pertamina Arden,Baku,Sprint Race,Round 4 ,2017-06-25
124,21,40:46.318,8.717,8.717,185.361,1:53.635,17.0,2.0,1,C. Leclerc,PREMA Racing,Baku,Sprint Race,Round 4 ,2017-06-25
125,21,40:49.175,11.574,2.857,185.144,1:55.088,20.0,3.0,10,N. Latifi,DAMS,Baku,Sprint Race,Round 4 ,2017-06-25
126,21,40:50.393,12.792,0.287,185.052,1:55.032,21.0,4.0,8,S. Sirotkin,ART Grand Prix,Baku,Sprint Race,Round 4 ,2017-06-25
127,21,40:50.491,12.890,0.098,185.045,1:54.733,21.0,5.0,6,A. Markelov,RUSSIAN TIME,Baku,Sprint Race,Round 4 ,2017-06-25
128,21,40:52.073,14.472,1.582,184.926,1:54.969,19.0,6.0,7,N. Matsushita,ART Grand Prix,Baku,Sprint Race,Round 4 ,2017-06-25
129,21,40:54.489,16.888,2.416,184.744,1:54.980,20.0,7.0,5,L. Ghiotto,RUSSIAN TIME,Baku,Sprint Race,Round 4 ,2017-06-25
130,21,40:58.988,21.387,4.499,184.406,1:54.971,21.0,8.0,11,R. Boschung,Campos Racing,Baku,Sprint Race,Round 4 ,2017-06-25
131,21,41:04.944,27.343,5.956,183.96,1:55.345,16.0,9.0,14,S. Sette Câmara,MP Motorsport,Baku,Sprint Race,Round 4 ,2017-06-25
132,21,41:05.428,27.827,0.484,183.924,1:55.020,21.0,10.0,21,S. Gelael,Pertamina Arden,Baku,Sprint Race,Round 4 ,2017-06-25
133,21,41:09.213,31.612,3.785,183.642,1:55.802,21.0,11.0,12,R. Visoiu,Campos Racing,Baku,Sprint Race,Round 4 ,2017-06-25
134,21,41:10.265,32.664,1.052,183.564,1:54.969,20.0,12.0,2,A. Fuoco,PREMA Racing,Baku,Sprint Race,Round 4 ,2017-06-25
135,21,41:12.246,34.645,1.981,183.417,1:55.690,21.0,13.0,4,G. Malja,Racing Engineering,Baku,Sprint Race,Round 4 ,2017-06-25
136,21,41:13.390,35.789,1.144,183.332,1:54.649,21.0,14.0,19,J. Cecotto,Rapax,Baku,Sprint Race,Round 4 ,2017-06-25
137,21,41:26.844,49.243,13.454,182.34,1:55.353,20.0,15.0,17,S. Canamasas,Trident,Baku,Sprint Race,Round 4 ,2017-06-25
138,21,41:34.753,57.152,7.909,181.762,1:57.045,18.0,16.0,3,L. Delétraz,Racing Engineering,Baku,Sprint Race,Round 4 ,2017-06-25
139,21,42:16.532,98.931,41.779,178.768,1:56.949,19.0,17.0,16,N. Jeffri,Trident,Baku,Sprint Race,Round 4 ,2017-06-25
140,40,52:21.629,0.000,0.000,197.775,1:16.113,33.0,1.0,1,C. Leclerc,PREMA Racing,Spielberg,Feature Race,Round 5 ,2017-07-09
141,40,52:22.974,1.345,1.345,197.691,1:16.773,29.0,2.0,10,N. Latifi,DAMS,Spielberg,Feature Race,Round 5 ,2017-07-09
142,40,52:26.789,5.160,3.815,197.451,1:16.479,32.0,3.0,2,A. Fuoco,PREMA Racing,Spielberg,Feature Race,Round 5 ,2017-07-09
143,40,52:27.311,5.682,0.522,197.418,1:16.498,13.0,4.0,9,O. Rowland,DAMS,Spielberg,Feature Race,Round 5 ,2017-07-09
144,40,52:31.475,9.846,4.164,197.157,1:16.382,33.0,5.0,8,A. Albon,ART Grand Prix,Spielberg,Feature Race,Round 5 ,2017-07-09
145,40,52:33.808,12.179,2.333,197.012,1:15.854,34.0,6.0,7,N. Matsushita,ART Grand Prix,Spielberg,Feature Race,Round 5 ,2017-07-09
146,40,52:41.029,19.400,7.221,196.562,1:16.924,14.0,7.0,11,R. Boschung,Campos Racing,Spielberg,Feature Race,Round 5 ,2017-07-09
147,40,52:42.014,20.385,0.985,196.5,1:16.740,33.0,8.0,6,A. Markelov,RUSSIAN TIME,Spielberg,Feature Race,Round 5 ,2017-07-09
148,40,52:52.110,30.481,10.096,195.875,1:17.280,13.0,9.0,15,J. King,MP Motorsport,Spielberg,Feature Race,Round 5 ,2017-07-09
149,40,52:55.291,33.662,3.181,195.679,1:16.710,14.0,10.0,21,S. Gelael,Pertamina Arden,Spielberg,Feature Race,Round 5 ,2017-07-09
150,40,52:57.265,35.636,1.974,195.557,1:17.106,13.0,11.0,12,R. Visoiu,Campos Racing,Spielberg,Feature Race,Round 5 ,2017-07-09
151,40,52:57.640,36.011,0.375,195.534,1:17.092,13.0,12.0,4,G. Malja,Racing Engineering,Spielberg,Feature Race,Round 5 ,2017-07-09
152,40,53:05.774,44.145,8.134,195.035,1:17.296,11.0,13.0,18,N. de Vries,Rapax,Spielberg,Feature Race,Round 5 ,2017-07-09
153,40,53:08.525,46.896,2.751,194.866,1:16.614,13.0,14.0,5,L. Ghiotto,RUSSIAN TIME,Spielberg,Feature Race,Round 5 ,2017-07-09
154,40,53:10.512,48.883,1.987,194.745,1:17.206,13.0,15.0,19,S. Canamasas,Rapax,Spielberg,Feature Race,Round 5 ,2017-07-09
155,40,53:12.569,50.940,2.057,194.62,1:17.180,30.0,16.0,14,S. Sette Câmara,MP Motorsport,Spielberg,Feature Race,Round 5 ,2017-07-09
156,40,53:15.052,53.423,2.483,194.468,1:16.808,14.0,17.0,3,L. Delétraz,Racing Engineering,Spielberg,Feature Race,Round 5 ,2017-07-09
157,40,53:18.510,56.881,3.458,194.258,1:17.222,15.0,18.0,16,N. Jeffri,Trident,Spielberg,Feature Race,Round 5 ,2017-07-09
158,39,52:34.631,1 LAP,1 LAP,192.033,1:18.327,31.0,19.0,17,R. Marciello,Trident,Spielberg,Feature Race,Round 5 ,2017-07-09
159,28,40:32.190,0.000,0.000,178.769,1:16.119,21.0,1.0,6,A. Markelov,RUSSIAN TIME,Spielberg,Sprint Race,Round 5 ,2017-07-09
160,28,40:33.648,1.458,1.458,178.662,1:16.781,13.0,2.0,8,A. Albon,ART Grand Prix,Spielberg,Sprint Race,Round 5 ,2017-07-09
161,28,40:34.245,2.055,0.597,178.618,1:16.582,26.0,3.0,9,O. Rowland,DAMS,Spielberg,Sprint Race,Round 5 ,2017-07-09
162,28,40:38.030,5.840,3.785,178.341,1:16.539,10.0,4.0,5,L. Ghiotto,RUSSIAN TIME,Spielberg,Sprint Race,Round 5 ,2017-07-09
163,28,40:38.819,6.629,0.789,178.283,1:16.697,9.0,5.0,2,A. Fuoco,PREMA Racing,Spielberg,Sprint Race,Round 5 ,2017-07-09
164,28,40:42.705,10.515,3.886,177.999,1:16.699,10.0,6.0,15,J. King,MP Motorsport,Spielberg,Sprint Race,Round 5 ,2017-07-09
165,28,40:45.846,13.656,3.141,177.771,1:16.526,8.0,7.0,20,N. Nato,Pertamina Arden,Spielberg,Sprint Race,Round 5 ,2017-07-09
166,28,40:48.112,15.922,2.266,177.606,1:16.607,10.0,8.0,10,N. Latifi,DAMS,Spielberg,Sprint Race,Round 5 ,2017-07-09
167,28,40:48.169,15.979,0.057,177.602,1:16.757,13.0,9.0,19,S. Canamasas,Rapax,Spielberg,Sprint Race,Round 5 ,2017-07-09
168,28,40:48.472,16.282,0.303,177.58,1:16.760,12.0,10.0,14,S. Sette Câmara,MP Motorsport,Spielberg,Sprint Race,Round 5 ,2017-07-09
169,28,40:51.039,18.849,2.567,177.394,1:16.255,11.0,11.0,21,S. Gelael,Pertamina Arden,Spielberg,Sprint Race,Round 5 ,2017-07-09
170,28,40:53.138,20.948,2.099,177.242,1:16.494,9.0,12.0,16,N. Jeffri,Trident,Spielberg,Sprint Race,Round 5 ,2017-07-09
171,28,40:53.491,21.301,0.353,177.217,1:16.754,9.0,13.0,3,L. Delétraz,Racing Engineering,Spielberg,Sprint Race,Round 5 ,2017-07-09
172,28,40:54.633,22.443,1.142,177.134,1:16.694,13.0,14.0,7,N. Matsushita,ART Grand Prix,Spielberg,Sprint Race,Round 5 ,2017-07-09
173,28,41:40.112,67.922,45.479,173.912,1:16.571,10.0,15.0,4,G. Malja,Racing Engineering,Spielberg,Sprint Race,Round 5 ,2017-07-09
